1,2,"0,00000",,,,,"0,111"
1,13,"3,92707",,,,,"0,111"
1,14,"26,65771",,,,,"0,111"
1,3,"28,14160",,,,,"0,111"
1,9,"29,46127",,,,,"0,111"
1,4,"42,51552",,,,,"0,111"
1,6,"79,96779",,,,,"0,111"
1,7,"125,68102",,,,,"0,111"
1,10,"272,63537",,,,,"0,111"
1,11,"350,12351",,,,,"0,111"
1,12,"379,70337",,,,,"0,111"
2,1,"0,00000",,,,,"0,111"
2,10,"28,95084",,,,,"0,111"
2,11,"114,45988",,,,,"0,111"
2,12,"170,86840",,,,,"0,111"
2,13,"205,16268",,,,,"0,111"
2,14,"233,14009",,,,,"0,111"
2,9,"236,90861",,,,,"0,111"
2,3,"239,06490",,,,,"0,111"
2,4,"252,26813",,,,,"0,111"
2,6,"306,12038",,,,,"0,111"
2,7,"365,52505",,,,,"0,111"
3,1,"0,00000",,,,,"0,111"
3,10,"7,24348",,,,,"0,111"
3,2,"10,92269",,,,,"0,111"
3,11,"35,65159",,,,,"0,111"
3,12,"71,45451",,,,,"0,111"
3,13,"119,97659",,,,,"0,111"
3,14,"195,22732",,,,,"0,111"
3,9,"204,68209",,,,,"0,111"
3,4,"243,91734",,,,,"0,111"
3,6,"347,23917",,,,,"0,111"
3,7,"383,60759",,,,,"0,111"
4,1,"0,00000",,,,,"0,111"
4,10,"3,71152",,,,,"0,111"
4,2,"9,75375",,,,,"0,111"
4,11,"24,10290",,,,,"0,111"
4,3,"29,54442",,,,,"0,111"
4,12,"45,87526",,,,,"0,111"
4,13,"66,82025",,,,,"0,111"
4,9,"86,84463",,,,,"0,111"
4,14,"97,16418",,,,,"0,111"
4,6,"370,06951",,,,,"0,111"
4,7,"388,29135",,,,,"0,111"
6,1,"0,00000",,,,,"0,111"
6,7,"380,49413",,,,,"0,111"
6,4,"132,61674",,,,,"0,111"
6,3,"95,41305",,,,,"0,111"
6,2,"26,15310",,,,,"0,111"
